collegeStart,collegeEnd,distance
Arizona State University,Massachusetts Institute of Technology (MIT),2636
Arizona State University,Northwestern,1756
Arizona State University,Ohio State University,1865
Arizona State University,Saddleback College,379
Arizona State University,University of Michigan,1956
Arizona State University,"University of California, Irvine (UCI)",375
Arizona State University,"University of California, Los Angeles (UCLA)",397
Arizona State University,University of Oregon,1343
Arizona State University,University of the Pacific,720
Arizona State University,University of Wisconsin,1684
Massachusetts Institute of Technology (MIT),Arizona State University,2636
Massachusetts Institute of Technology (MIT),Northwestern,993
Massachusetts Institute of Technology (MIT),Ohio State University,772
Massachusetts Institute of Technology (MIT),Saddleback College,2989
Massachusetts Institute of Technology (MIT),University of Michigan,803
Massachusetts Institute of Technology (MIT),"University of California, Irvine (UCI)",2986
Massachusetts Institute of Technology (MIT),"University of California, Los Angeles (UCLA)",2998
Massachusetts Institute of Technology (MIT),University of Oregon,3107
Massachusetts Institute of Technology (MIT),University of the Pacific,3057
Massachusetts Institute of Technology (MIT),University of Wisconsin,1125
Northwestern,Arizona State University,1756
Northwestern,Massachusetts Institute of Technology (MIT),993
Northwestern,Ohio State University,335
Northwestern,Saddleback College,2033
Northwestern,University of Michigan,270
Northwestern,"University of California, Irvine (UCI)",2030
Northwestern,"University of California, Los Angeles (UCLA)",2043
Northwestern,University of Oregon,2151
Northwestern,University of the Pacific,2102
Northwestern,University of Wisconsin,145
Ohio State University,Arizona State University,1865
Ohio State University,Massachusetts Institute of Technology (MIT),772
Ohio State University,Northwestern,335
Ohio State University,Saddleback College,2252
Ohio State University,University of Michigan,184
Ohio State University,"University of California, Irvine (UCI)",2248
Ohio State University,"University of California, Los Angeles (UCLA)",2261
Ohio State University,University of Oregon,2241
Ohio State University,University of the Pacific,2412
Ohio State University,University of Wisconsin,503
Saddleback College,Arizona State University,379
Saddleback College,Massachusetts Institute of Technology (MIT),2989
Saddleback College,Northwestern,2033
Saddleback College,Ohio State University,2252
Saddleback College,University of Michigan,2249
Saddleback College,"University of California, Irvine (UCI)",16
Saddleback College,"University of California, Los Angeles (UCLA)",66
Saddleback College,University of Oregon,906
Saddleback College,University of the Pacific,390
Saddleback College,University of Wisconsin,1981
University of Michigan,Arizona State University,1956
University of Michigan,Massachusetts Institute of Technology (MIT),803
University of Michigan,Northwestern,270
University of Michigan,Ohio State University,184
University of Michigan,Saddleback College,2249
University of Michigan,"University of California, Irvine (UCI)",2245
University of Michigan,"University of California, Los Angeles (UCLA)",2252
University of Michigan,University of Oregon,2347
University of Michigan,University of the Pacific,2318
University of Michigan,University of Wisconsin,391
"University of California, Irvine (UCI)",Arizona State University,375
"University of California, Irvine (UCI)",Massachusetts Institute of Technology (MIT),2986
"University of California, Irvine (UCI)",Northwestern,2030
